FileName,RawText
JOB-0001_Senior_Data_Analyst.pdf,"Senior Data Analyst

Department: Data & Analytics | Location: Karachi, Pakistan / Remote | Full Time

Salary Range: PKR 180,000 – 220,000

About the Role:

You will design and build scalable dashboards to support strategic business decisions across the company.

Key Responsibilities:

- Develop Power BI dashboards
- Collaborate with business teams to gather requirements
- Conduct data validation and cleansing

Required Skills:

- Power BI
- SQL
- Excel

Education & Qualifications:

- Bachelor's in Computer Science
- PMP Certification

Experience:

3+ years in data analytics

How to Apply:

Send your resume to careers@acmetalentsolutions.com by Sept 30, 2025

Generated on 2025-07-02

"
JOB-0002_Human_Resources_Manager.pdf,"Human Resources Manager

Department: Human Resources | Location: Lahore, Pakistan / Hybrid | Full Time

Salary Range: PKR 200,000 – 250,000

About the Role:

Lead HR strategy, talent acquisition, and organizational development.

Key Responsibilities:

- Manage recruitment processes
- Develop HR policies
- Oversee performance management
- Ensure labor law compliance
Required Skills:

- HRIS
- Talent Management
- Employee Engagement

Education & Qualifications:

- Master's in HR Management

Experience:

7+ years in HR leadership

How to Apply:

Email hr@acmetalentsolutions.com with Job ID in subject by Sept 25, 2025

Generated on 2025-07-02

"
JOB-0003_Finance_Officer.pdf,"Finance Officer

Department: Finance | Location: Karachi, Pakistan | Full Time

Salary Range: PKR 150,000 – 180,000

About the Role:

Support financial reporting, budgeting, and compliance across the organization.

Key Responsibilities:

- Prepare monthly financial statements
- Reconcile accounts
- Assist with audits

Required Skills:

- QuickBooks
- MS Excel
- Financial Analysis

Education & Qualifications:

- Bachelor's in Finance or Accounting

Experience:

3+ years in finance

How to Apply:

Send your CV to finance@acmetalentsolutions.com by Sept 22, 2025

Generated on 2025-07-02

"
JOB-0004_IT_Support_Specialist.pdf,"IT Support Specialist

Department: IT | Location: Islamabad, Pakistan | Full Time

Salary Range: PKR 120,000 – 150,000

About the Role:

Provide IT support and maintain infrastructure for smooth operations.

Key Responsibilities:

- Troubleshoot hardware and software issues
- Manage user accounts
- Maintain IT asset inventory

Required Skills:

- Windows Server
- Networking
- Help Desk

Education & Qualifications:

- Bachelor's in Computer Science

Experience:

2+ years in IT support

How to Apply:

Apply at it@acmetalentsolutions.com by Sept 28, 2025

Generated on 2025-07-02

"
JOB-0005_Marketing_Coordinator.pdf,"Marketing Coordinator

Department: Marketing | Location: Remote | Full Time

Salary Range: PKR 130,000 – 160,000

About the Role:

Coordinate marketing campaigns and content development.

Key Responsibilities:

- Manage social media channels
- Develop marketing materials
- Track campaign performance

Required Skills:

- Digital Marketing
- Content Creation
- Social Media

Education & Qualifications:

- Bachelor's in Marketing

Experience:

3+ years in marketing

How to Apply:

Send applications to marketing@acmetalentsolutions.com by Oct 1, 2025

Generated on 2025-07-02

"
JOB-0006_Senior_Software_Engineer.pdf,"Senior Software Engineer

Department: Technology | Location: Lahore, Pakistan / Hybrid | Full Time

Salary Range: PKR 250,000 – 300,000

About the Role:

Develop scalable software solutions in a dynamic environment.

Key Responsibilities:

- Design application architecture
- Write clean code
- Mentor junior developers

Required Skills:

- Python
- JavaScript
- REST APIs

Education & Qualifications:

- Bachelor's in Computer Science

Experience:

5+ years in software development

How to Apply:

Submit CV to tech@acmetalentsolutions.com by Oct 5, 2025

Generated on 2025-07-02

"
JOB-0007_Project_Manager.pdf,"Project Manager

Department: PMO | Location: Karachi, Pakistan | Full Time

Salary Range: PKR 220,000 – 270,000

About the Role:

Oversee projects from initiation to closure to ensure successful delivery.

Key Responsibilities:

- Develop project plans
- Monitor progress
- Manage risks
- Coordinate stakeholders
Required Skills:

- Project Management
- Agile
- MS Project

Education & Qualifications:

- PMP Certification
- Bachelor's Degree

Experience:

5+ years managing projects

How to Apply:

Apply to pmo@acmetalentsolutions.com by Sept 30, 2025

Generated on 2025-07-02

"
JOB-0008_Customer_Support_Lead.pdf,"Customer Support Lead

Department: Customer Service | Location: Lahore, Pakistan | Full Time

Salary Range: PKR 140,000 – 170,000

About the Role:

Lead the customer support team to maintain high service standards.

Key Responsibilities:

- Supervise support agents
- Develop training materials
- Handle escalations

Required Skills:

- Customer Service
- CRM
- Team Leadership

Education & Qualifications:

- Bachelor's Degree

Experience:

4+ years in customer support

How to Apply:

Send CV to support@acmetalentsolutions.com by Oct 3, 2025

Generated on 2025-07-02

"
JOB-0009_Procurement_Specialist.pdf,"Procurement Specialist

Department: Procurement | Location: Karachi, Pakistan | Full Time

Salary Range: PKR 160,000 – 190,000

About the Role:

Manage procurement processes and vendor relationships.

Key Responsibilities:

- Negotiate contracts
- Track purchase orders
- Ensure compliance

Required Skills:

- Procurement
- Negotiation
- Inventory Management

Education & Qualifications:

- Bachelor's in Supply Chain

Experience:

3+ years in procurement

How to Apply:

Email procurement@acmetalentsolutions.com by Sept 27, 2025

Generated on 2025-07-02

"
JOB-0010_QA_Engineer.pdf,"QA Engineer

Department: Technology | Location: Islamabad, Pakistan | Full Time

Salary Range: PKR 140,000 – 170,000

About the Role:

Test software applications to ensure quality standards.

Key Responsibilities:

- Develop test plans
- Execute manual and automated tests
- Report defects

Required Skills:

- Software Testing
- Selenium
- JIRA

Education & Qualifications:

- Bachelor's in Computer Science

Experience:

3+ years in QA

How to Apply:

Submit applications to qa@acmetalentsolutions.com by Oct 4, 2025

Generated on 2025-07-02

"
JOB-0011_Business_Development_Manager.pdf,"Business Development Manager

Department: Sales | Location: Karachi, Pakistan | Full Time

Salary Range: PKR 180,000 – 230,000

About the Role:

Drive business growth by acquiring new clients and expanding existing accounts.

Key Responsibilities:

- Develop sales strategies
- Identify new business opportunities
- Manage client relationships

Required Skills:

- Sales Strategy
- Negotiation
- CRM

Education & Qualifications:

- Bachelor's in Business Administration

Experience:

5+ years in business development

How to Apply:

Email sales@acmetalentsolutions.com by Oct 5, 2025

Generated on 2025-07-02

"
JOB-0012_Graphic_Designer.pdf,"Graphic Designer

Department: Creative | Location: Lahore, Pakistan | Full Time

Salary Range: PKR 120,000 – 160,000

About the Role:

Design marketing materials and visual assets to support brand initiatives.

Key Responsibilities:

- Create digital and print designs
- Collaborate with marketing team
- Ensure brand consistency

Required Skills:

- Adobe Creative Suite
- Illustration
- Branding

Education & Qualifications:

- Bachelor's in Graphic Design

Experience:

3+ years in design

How to Apply:

Submit portfolio to creative@acmetalentsolutions.com by Oct 7, 2025

Generated on 2025-07-02

"
JOB-0013_Content_Writer.pdf,"Content Writer

Department: Marketing | Location: Remote | Full Time

Salary Range: PKR 110,000 – 140,000

About the Role:

Develop engaging content for websites, blogs, and social media.

Key Responsibilities:

- Write articles and posts
- Edit content
- Research industry topics

Required Skills:

- Content Writing
- SEO
- Editing

Education & Qualifications:

- Bachelor's in English or Communications

Experience:

2+ years writing experience

How to Apply:

Send samples to marketing@acmetalentsolutions.com by Oct 8, 2025

Generated on 2025-07-02

"
JOB-0014_Operations_Manager.pdf,"Operations Manager

Department: Operations | Location: Islamabad, Pakistan | Full Time

Salary Range: PKR 200,000 – 250,000

About the Role:

Oversee daily operations to ensure efficiency and productivity.

Key Responsibilities:

- Supervise operational staff
- Optimize workflows
- Track KPIs

Required Skills:

- Operations Management
- Process Improvement
- Leadership

Education & Qualifications:

- Bachelor's Degree

Experience:

6+ years in operations

How to Apply:

Apply at ops@acmetalentsolutions.com by Oct 10, 2025

Generated on 2025-07-02

"
JOB-0015_Recruitment_Specialist.pdf,"Recruitment Specialist

Department: Human Resources | Location: Karachi, Pakistan | Full Time

Salary Range: PKR 130,000 – 160,000

About the Role:

Manage end-to-end recruitment processes.

Key Responsibilities:

- Post job ads
- Screen candidates
- Coordinate interviews

Required Skills:

- Talent Acquisition
- ATS
- Interviewing

Education & Qualifications:

- Bachelor's in HR

Experience:

3+ years recruiting experience

How to Apply:

Send CV to hr@acmetalentsolutions.com by Oct 12, 2025

Generated on 2025-07-02

"
